Time,position,velocity,rhonn_x0,rhonn_x1,error_x0,error_x1,set_point,effort,error_tracking_x0,error_tracking_x1,surface,w11,w12,w21,w22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.54,0.010842626865408019,0.0007979809617686687,0.010839377618191367,0.00011021255654747189,3.2492472166519709e-06,0.00068776840522119683,9.329185185185186e-05,-0.00017953496154355888,0.0078865177658348357,0.009634513935207676,0.0098711094681827212,0.17380712527380776,0.00097652178835254671,0.18011979568956474,0.013256729345433205
64.55,0.021576827462161958,0.0015879821139196508,0.021576777972150522,0.0011559434901889992,4.9490011436170711e-08,0.00043203862373065159,0.00020986,-0.00056564753152558479,0.020396107408257258,0.020760203100680892,0.021372086322928609,0.20541936797921234,0.0012653676907527802,0.2942990190703948,0.32879048376380843
64.56,0.03220604222443073,0.0038648292076892002,0.032213726933648081,0.0035331357557050538,-7.6847092173523701e-06,0.00033169345198414638,0.0003730014814814815,-0.0012795101488179978,0.02120373874603031,0.020994092786965336,0.021630204949346244,-0.11363059630553315,-0.0027795636543100992,0.20978088323806882,2.4938984063987539
64.57,0.03220604222443073,0.0038648292076892002,0.03220612460746361,0.0024871965081103356,-8.2383032881661045e-08,0.0013776326995788646,0.0005826851851851853,-0.0017572386405062534,0.031623502270966622,0.03136724460746361,0.032315949675592606,-0.11363073513468985,-0.0027838716219963375,0.32768222199623248,2.5294818759807942
64.58,0.03220604222443073,0.0038648292076892002,0.032206042233898731,0.0036215058472721107,-9.4680027706850467e-12,0.00024332336041708955,0.0008388800000000002,-0.0021585187653563355,0.031367162241121724,0.031064487419083915,0.032005502286317565,-0.1136307366374915,-0.0027839183002107836,0.47836489168542257,2.5493555730217246
64.591,0.04272813467527399,0.0028934506186167647,0.042716165759934734,0.0027227203971199251,1.1968915339256869e-05,0.00017073022149683955,0.0008388800000000002,-0.0029100438143995827,0.031367162241121724,0.031064487419083915,0.032005502286317565,0.25049524517051031,0.0030901544783834404,0.59658862543753932,2.2080632923476595
64.601,0.04272813467527399,0.0028934506186167647,0.042728130410306833,0.0026636882867053652,4.264967157219246e-09,0.00022976233191139952,0.0014906785185185188,-0.0035416001025689605,0.041237448636868006,0.040841910410306832,0.04207903386941287,0.25049553457254708,0.0030969279719598977,0.74294115905267266,2.2154123183040935
64.611,0.04272813467527399,0.0028934506186167647,0.042728134675116741,-0.0036294405593902956,1.5724921365034561e-13,0.0065228911780070599,0.0018862199999999999,-0.0048214404315413927,0.04084191467441204,0.040399986526636983,0.041625243966869341,0.25049553467564795,0.0030969303863799258,0.93012675468127137,2.2280889501359216
64.622,0.05314500620160882,0.0019317858154350533,0.053090428386965614,0.0020307696141928927,5.4577814643207156e-05,-9.8983798757839355e-05,0.0023281481481481478,-0.0048214404315413927,0.05072060760935173,0.05027399653511376,0.05179561476339431,0.49083223385202956,0.0077354487902671232,0.85018991444337111,2.6276265432026138
64.633,0.05314500620160882,0.0019317858154350533,0.053144818637321491,-0.0056958225738051455,1.8756428733085473e-07,0.0076276083892401984,0.0028164318518518507,-0.0063204978604476493,0.050327545599519588,0.049793382859470374,0.051303209227455959,0.49083387730513195,0.0077662029576848132,1.0284447223773137,2.6325108344802493
64.64,0.06346311536746176,0.004307012807116513,0.068973047062931087,0.0078591071405413604,-0.0055099316954693306,-0.0035520943334248472,0.003351039999999999,-0.0063204978604476493,0.069920745649009075,0.065041105581449613,0.06713872795091988,0.27874570336881066,0.0058460725373007316,1.0078948556869882,1.3985616039833542
64.65,0.07367804344165617,0.006658487528881159,0.073688017137845951,0.006670964446794922,-9.9736961897828325e-06,-1.2476917913763208e-05,0.00393194148148148,-0.0075242248403705851,0.069763700594097422,0.069128911952660771,0.071221822970483697,0.10519544583836882,-0.00063777987356783015,1.0098430515983969,1.1473944439520942
64.66,0.08378966311956114,0.008143225552222286,0.083800249476657193,0.0080312556079136233,-1.0586357096054044e-05,0.00011196994430866247,0.004559105185185185,-0.0097388835108744194,0.079249243796837482,0.078567749476657192,0.080945226790562319,0.054504500384304905,-0.002192850768302473,1.1495238913310202,1.1507244290028487
64.67,0.08378966311956114,0.008143225552222286,0.083789775480063514,0.007558352081888764,-1.123605023745089e-07,0.00058487347033352177,0.004559105185185185,-0.010878561197040941,0.079249243796837482,0.078567749476657192,0.080945226790562319,0.054504007300087316,-0.0021987435258296194,1.2811624564026498,1.1635523039746873
64.68,0.09376558191103866,0.0017845569154139665,0.093029452838876939,0.0016447404973193025,0.00073612907216172307,0.000139816418094664,0.005952094814814815,-0.011979141832473759,0.077837766631033062,0.077071916961545001,0.079407049960475998,0.6243938169097818,0.017127446062838638,1.2681427382260069,1.6438348657046391
64.69,0.09376558191103866,0.0017845569154139665,0.093765535222286506,0.0017779729069283545,4.6688752156076596e-08,6.5840084856119696e-06,0.00671785851851852,-0.013218820411013372,0.087047640952469668,0.086235775222286509,0.088847204450860598,0.62443298883953646,0.017540653614729552,1.4015240690224682,1.6463387137528183
64.7,0.09376558191103866,0.0017845569154139665,0.09376558175256669,0.0016156062655155456,1.5847197165630433e-10,0.00016895064989842085,0.00671785851851852,-0.014476479074937501,0.087047640952469668,0.086235775222286509,0.088847204450860598,0.62443299128186125,0.017540679738155915,1.5349829607865197,1.6488861549349287
