Time,Name,Z0,Z1,Reference
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.010000000000000002,,-6.520999710127147e-05,-6.7789370762401e-05,6.523168079328809e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.011000000000000003,,-7.887291468597408e-05,-8.037158816094817e-05,7.89039356549422e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.012000000000000004,,-9.382771655277008e-05,-9.400106608429924e-05,9.387078848926308e-05
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.013000000000000005,,-0.00011007260270455078,-0.00010867289787411109,0.00011013093029931178
0.014000000000000005,,-0.00012760572704617227,-0.00012438208966993476,0.00012768305208814924
0.014000000000000005,,-0.00012760572704617227,-0.00012438208966993476,0.00012768305208814924
0.014000000000000005,,-0.00012760572704617227,-0.00012438208966993476,0.00012768305208814924
0.014000000000000005,,-0.00012760572704617227,-0.00012438208966993476,0.00012768305208814924
0.015000000000000006,,-0.00014642519607388504,-0.0001411235388715738,0.00014652584485883656
0.015000000000000006,,-0.00014642519607388504,-0.0001411235388715738,0.00014652584485883656
0.015000000000000006,,-0.00014642519607388504,-0.0001411235388715738,0.00014652584485883656
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
