Time,position,velocity,rhonn_x0,rhonn_x1,error_x0,error_x1,set_point
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
665.836,0.0,0.0,0.0,0.0001515,0.0,-0.0001515,0.015
665.836,0.0,0.0,0.0,0.0001515,0.0,-0.0001515,0.03
665.846,0.11505403570464395,-0.15004859119789207,0.11049534298038033,-0.15004675246862337,0.0045586927242636244,-1.8387292687049861e-06,0.045
665.856,0.22895753105224148,-0.2985966964838052,0.21436180393438775,-0.29859660934701265,0.01459572711785373,-8.7136792559228127e-08,0.06
665.866,0.3388542768725168,-0.43440242158250153,-0.55872683616819074,-0.43543561272934106,0.89758111304070753,0.0010331911468395294,0.075
665.876,0.3388542768725168,-0.43440242158250153,0.33640115601181719,-0.43428015462284986,0.002453120860699598,-0.00012226695965167345,0.09
665.886,0.4476520552345893,-0.5688500894302109,0.3506046859355294,-0.56964915092372514,0.097047369299059882,0.0007990614935142748,0.105
665.896,0.4476520552345893,-0.5688500894302109,0.44763065290865001,-0.56884999373685097,2.1402325939279265e-05,-9.5693359902782049e-08,0.12
665.906,0.4476520552345893,-0.5688500894302109,0.44765205500122107,-0.5688500894469346,2.3336821364239313e-10,1.6723733509138583e-11,0.135
665.918,0.5529103988704862,-0.6705064329754604,0.55291162916326186,-0.67050643297351153,-1.2302927756557835e-06,-1.9488854974269998e-12,0.15000000000000002
665.926,0.5529103988704862,-0.6705064329754604,0.55291039963763922,-0.67050649244805482,-7.6715300778573692e-10,5.9472594404752499e-08,0.16500000000000004
665.936,0.5529103988704862,-0.6705064329754604,0.55291039887062254,-0.67050643852146097,-1.3633538742396922e-13,5.5460005476959395e-09,0.18000000000000005
665.946,0.6550645807858613,-0.7576448171815594,0.65507586712006116,-0.75764481636603564,-1.1286334199889225e-05,-8.1552375963411805e-10,0.19500000000000006
665.956,0.6550645807858613,-0.7576448171815594,0.6550645867946514,-0.75764488074825165,-6.0087901321281834e-09,6.35666922432776e-08,0.21000000000000008
665.966,0.7546074187529448,-0.8217959604594791,0.7585656796956215,-0.82179341031757192,-0.0039582609426767057,-2.5501419071982667e-06,0.2250000000000001
665.978,0.7546074187529448,-0.8217959604594791,0.75460755924422074,-0.82179596129001609,-1.4049127594617516e-07,8.3053697252921665e-10,0.2400000000000001
665.986,0.9456574805286665,-0.9252010817403661,0.94619351938723639,-0.92520134992235592,-0.0005360388585698983,2.6818198983757924e-07,0.2550000000000001
665.997,1.0390762795454975,-1.0114292411656478,0.51101631572700512,-1.0115920356529597,0.52805996381849241,0.00016279448731193469,0.27000000000000013
666.006,1.0390762795454975,-1.0114292411656478,1.0390313403798217,-1.0114289952349973,4.4939165675828008e-05,-2.4593065051092822e-07,0.28500000000000014
666.017,1.129330150346335,-1.129388002576449,-2.7622461227084045,-1.1443456254038498,3.8915762730547394,0.014957622827400874,0.30000000000000016
666.026,1.129330150346335,-1.129388002576449,1.1293101793339844,-1.1293879889642913,1.9971012350739059e-05,-1.3612157623299481e-08,0.31500000000000017
666.036,1.129330150346335,-1.129388002576449,1.1293301488093306,-1.1293880118488051,1.5370045236551277e-09,9.2723562161722839e-09,0.3300000000000002
666.046,1.215769441231142,-1.2840915671140547,-0.29486933069739507,-1.2882794167704921,1.510638771928537,0.0041878496564373702,0.3450000000000002
666.056,1.215769441231142,-1.2840915671140547,1.2156625709344837,-1.2840904997301417,0.00010687029665823466,-1.067383913033737e-06,0.3600000000000002
666.067,1.215769441231142,-1.2840915671140547,1.2157693252580657,-1.2840926742867866,1.1597307625343944e-07,1.1071727319400537e-06,0.3750000000000002
666.076,1.215769441231142,-1.2840915671140547,1.2157694412229318,-1.2840915765306624,8.2100992671030326e-12,9.4166077158064354e-09,0.39000000000000024
666.086,1.2975085610160095,-1.4841649810723705,1.2953369571299618,-1.4841647985395543,0.0021716038860477571,-1.8253281619529105e-07,0.40500000000000025
666.096,1.3736077054068223,-1.731095322243522,1.331038138927056,-1.7310962506637129,0.042569566479766285,9.2842019094874217e-07,0.42000000000000026
666.106,1.4433543105148734,-2.0073651492149835,1.4404059097879554,-2.0073651341051288,0.0029484007269180434,-1.5109854700767755e-08,0.4350000000000003
666.116,1.5063333973275994,-2.3046469232814664,1.4937209443999677,-2.3046465786928234,0.01261245292763169,-3.4458864295316971e-07,0.4500000000000003
666.126,1.5063333973275994,-2.3046469232814664,1.5063333751972721,-2.3046469233021325,2.213032734843523e-08,2.0666135469582514e-11,0.4650000000000003
666.136,1.5686826932721982,-2.5989558796072845,-1.7224019273685371,-2.5926837048280849,3.2910846206407354,-0.006272174779199613,0.4800000000000003
666.146,1.5686826932721982,-2.5989558796072845,1.5684998642563528,-2.598952837554025,0.00018282901584543154,-3.0420532595165639e-06,0.49500000000000033
666.156,1.5686826932721982,-2.5989558796072845,1.5686826929652966,-2.5989558796371561,3.0690161523239112e-10,2.9871660700564462e-11,0.5100000000000003
666.167,1.6239580839421937,-2.9061520530301976,0.77126202903428975,-2.9055554122887877,0.8526960549079039,-0.00059664074140997059,0.5250000000000004
666.176,1.6239580839421937,-2.9061520530301976,1.6239552965998314,-2.9061520488742136,2.787342362253753e-06,-4.1559840013860594e-09,0.5400000000000004
666.186,1.6717803553827157,-3.233319857864004,-2.0642340668663337,-3.2256576864302957,3.7360144222490494,-0.0076621714337083979,0.5550000000000004
666.196,1.6717803553827157,-3.233319857864004,1.6717684598409619,-3.2333198265261416,1.1895541753847994e-05,-3.133786252718096e-08,0.5700000000000004
