Time,Name,Position,Velocity,Effort
0.0,right_joint_1,0.0,0.0,0.0
0.001,right_joint_1,0.0,0.0,0.0
0.001,right_joint_1,0.0,0.0,0.0
0.001,right_joint_1,0.0,0.0,0.0
0.002,right_joint_1,0.0,1.7315770427551272e-07,5.367888832540895e-06
0.003,right_joint_1,1.731577042755127e-10,4.743413502533572e-07,9.341887756441444e-06
0.004,right_joint_1,6.474990545288699e-10,9.399870904452315e-07,1.4449248186455703e-05
0.005,right_joint_1,1.5874861449741013e-09,1.60726781793687e-06,2.0713902164954148e-05
0.006,right_joint_1,3.1947539629109716e-09,2.514271259576874e-06,2.8165324725378242e-05
0.006,right_joint_1,3.1947539629109716e-09,2.514271259576874e-06,2.8165324725378242e-05
0.007,right_joint_1,5.709025222487846e-09,3.70007879103579e-06,3.683546161301368e-05
0.007,right_joint_1,5.709025222487846e-09,3.70007879103579e-06,3.683546161301368e-05
0.007,right_joint_1,5.709025222487846e-09,3.70007879103579e-06,3.683546161301368e-05
0.008,right_joint_1,9.409104013523636e-09,5.204827200311064e-06,4.675820305126456e-05
0.008,right_joint_1,9.409104013523636e-09,5.204827200311064e-06,4.675820305126456e-05
0.009000000000000001,right_joint_1,1.4613931213834699e-08,7.069760802784134e-06,5.796908649267451e-05
0.009000000000000001,right_joint_1,1.4613931213834699e-08,7.069760802784134e-06,5.796908649267451e-05
0.010000000000000002,right_joint_1,2.1683692016618835e-08,9.337276951495299e-06,7.050509343412959e-05
0.010000000000000002,right_joint_1,2.1683692016618835e-08,9.337276951495299e-06,7.050509343412959e-05
0.010000000000000002,right_joint_1,2.1683692016618835e-08,9.337276951495299e-06,7.050509343412959e-05
0.010000000000000002,right_joint_1,2.1683692016618835e-08,9.337276951495299e-06,7.050509343412959e-05
0.010000000000000002,right_joint_1,2.1683692016618835e-08,9.337276951495299e-06,7.050509343412959e-05
0.011000000000000003,right_joint_1,3.1020968968114137e-08,1.2050967524895496e-05,8.440452608395095e-05
0.012000000000000004,right_joint_1,4.3071936493009634e-08,1.5255658267996937e-05,9.970694206189152e-05
0.012000000000000004,right_joint_1,4.3071936493009634e-08,1.5255658267996937e-05,9.970694206189152e-05
0.013000000000000005,right_joint_1,5.8327594761006575e-08,1.8997447215949584e-05,0.0001164531271345719
0.013000000000000005,right_joint_1,5.8327594761006575e-08,1.8997447215949584e-05,0.0001164531271345719
0.014000000000000005,right_joint_1,7.732504197695616e-08,2.3323742974574808e-05,0.00013468509193386048
0.015000000000000006,right_joint_1,1.0064878495153097e-07,2.8283303342491835e-05,0.00015444608369466508
0.015000000000000006,right_joint_1,1.0064878495153097e-07,2.8283303342491835e-05,0.00015444608369466508
0.016000000000000007,right_joint_1,1.289320882940228e-07,3.3926274581031306e-05,0.00017578060749499845
0.017000000000000008,right_joint_1,1.628583628750541e-07,4.030423152973888e-05,0.0001987344536473657
0.017000000000000008,right_joint_1,1.628583628750541e-07,4.030423152973888e-05,0.0001987344536473657
0.01800000000000001,right_joint_1,2.0316259440479298e-07,4.74702186997958e-05,0.0002233547292176567
0.01800000000000001,right_joint_1,2.0316259440479298e-07,4.74702186997958e-05,0.0002233547292176567
0.01800000000000001,right_joint_1,2.0316259440479298e-07,4.74702186997958e-05,0.0002233547292176567
0.01900000000000001,right_joint_1,2.5063281310458877e-07,5.5478792438266244e-05,0.0002496898924535777
0.02000000000000001,right_joint_1,3.0611160554285503e-07,6.438606423242846e-05,0.0002777897893921768
0.02100000000000001,right_joint_1,3.704976697752835e-07,7.424974520930613e-05,0.00030770569221018064
0.02100000000000001,right_joint_1,3.704976697752835e-07,7.424974520930613e-05,0.00030770569221018064
0.022000000000000013,right_joint_1,4.447474149845896e-07,8.512919187709125e-05,0.0003394903390576177
0.022000000000000013,right_joint_1,4.447474149845896e-07,8.512919187709125e-05,0.0003394903390576177
0.022000000000000013,right_joint_1,4.447474149845896e-07,8.512919187709125e-05,0.0003394903390576177
0.023000000000000013,right_joint_1,5.298766068616808e-07,9.708545315013301e-05,0.0003731979752206077
0.023000000000000013,right_joint_1,5.298766068616808e-07,9.708545315013301e-05,0.0003731979752206077
0.024000000000000014,right_joint_1,6.269620600118139e-07,0.0001101813186961502,0.0004088843955210366
0.024000000000000014,right_joint_1,6.269620600118139e-07,0.0001101813186961502,0.0004088843955210366
0.024000000000000014,right_joint_1,6.269620600118139e-07,0.0001101813186961502,0.0004088843955210366
0.024000000000000014,right_joint_1,6.269620600118139e-07,0.0001101813186961502,0.0004088843955210366
0.025000000000000015,right_joint_1,7.371433787079641e-07,0.0001244813686424414,0.0004466069878959125
0.025000000000000015,right_joint_1,7.371433787079641e-07,0.0001244813686424414,0.0004466069878959125
0.026000000000000016,right_joint_1,8.616247473504055e-07,0.0001400520246765807,0.00048642477811759114
0.026000000000000016,right_joint_1,8.616247473504055e-07,0.0001400520246765807,0.00048642477811759114
0.027000000000000017,right_joint_1,1.0016767720269861e-06,0.00015696160257604882,0.0005283984756238093
0.028000000000000018,right_joint_1,1.158638374603035e-06,0.00017528036620023812,0.0005725905204271497
0.028000000000000018,right_joint_1,1.158638374603035e-06,0.00017528036620023812,0.0005725905204271497
0.028000000000000018,right_joint_1,1.158638374603035e-06,0.00017528036620023812,0.0005725905204271497
0.028000000000000018,right_joint_1,1.158638374603035e-06,0.00017528036620023812,0.0005725905204271497
0.02900000000000002,right_joint_1,1.3339187408032732e-06,0.00019508058297711651,0.0006190651310692377
0.03000000000000002,right_joint_1,1.5289993237803897e-06,0.0002164365809154229,0.0006678883535768112
0.03000000000000002,right_joint_1,1.5289993237803897e-06,0.0002164365809154229,0.0006678883535768112
0.03100000000000002,right_joint_1,1.7454359046958126e-06,0.00023942480717148435,0.0007191281113653674
0.03200000000000002,right_joint_1,1.984860711867297e-06,0.0002641238881974997,0.0007728542560216216
0.03300000000000002,right_joint_1,2.2489846000647968e-06,0.00029061469149532435,0.0008291386188784895
0.03400000000000002,right_joint_1,2.539599291560121e-06,0.0003189803889963147,0.0008880550632755617
0.035000000000000024,right_joint_1,2.858579680556436e-06,0.0003493065220835382,0.0009496795373738181
0.035000000000000024,right_joint_1,2.858579680556436e-06,0.0003493065220835382,0.0009496795373738181
0.035000000000000024,right_joint_1,2.858579680556436e-06,0.0003493065220835382,0.0009496795373738181
0.036000000000000025,right_joint_1,3.207886202639974e-06,0.00038168106826749694,0.0010140901273652263
0.037000000000000026,right_joint_1,3.589567270907471e-06,0.00041619450952031835,0.0010813671108854885
0.03800000000000003,right_joint_1,4.0057617804277894e-06,0.0004529399022659759,0.0011515930104009926
0.03800000000000003,right_joint_1,4.0057617804277894e-06,0.0004529399022659759,0.0011515930104009926
0.03900000000000003,right_joint_1,4.458701682693765e-06,0.0004920129490153454,0.0012248526462984325
0.03900000000000003,right_joint_1,4.458701682693765e-06,0.0004920129490153454,0.0012248526462984325
0.04000000000000003,right_joint_1,4.950714631709111e-06,0.0005335120716245868,0.001301233189356943
0.04000000000000003,right_joint_1,4.950714631709111e-06,0.0005335120716245868,0.001301233189356943
0.04100000000000003,right_joint_1,5.484226703333698e-06,0.0005775384861432475,0.001380824212227217
0.04200000000000003,right_joint_1,6.061765189476946e-06,0.0006241962792043727,0.0014637177394791782
0.04200000000000003,right_joint_1,6.061765189476946e-06,0.0006241962792043727,0.0014637177394791782
0.04300000000000003,right_joint_1,6.685961468681318e-06,0.0006735924858925127,0.0015500082957084723
0.04300000000000003,right_joint_1,6.685961468681318e-06,0.0006735924858925127,0.0015500082957084723
0.04400000000000003,right_joint_1,7.359553954573831e-06,0.0007258371690065333,0.0016397929511114133
0.04500000000000003,right_joint_1,8.085391123580365e-06,0.0007810434996122373,0.0017331713638470202
0.046000000000000034,right_joint_1,8.866434623192602e-06,0.0008393278387546231,0.0018302458184023282
0.046000000000000034,right_joint_1,8.866434623192602e-06,0.0008393278387546231,0.0018302458184023282
0.047000000000000035,right_joint_1,9.705762461947225e-06,0.0009008098201707334,0.0019311212590620596
0.047000000000000035,right_joint_1,9.705762461947225e-06,0.0009008098201707334,0.0019311212590620596
0.048000000000000036,right_joint_1,1.0606572282117958e-05,0.000965612433811043,0.0020359053174547168
0.048000000000000036,right_joint_1,1.0606572282117958e-05,0.000965612433811043,0.0020359053174547168
0.048000000000000036,right_joint_1,1.0606572282117958e-05,0.000965612433811043,0.0020359053174547168
0.04900000000000004,right_joint_1,1.1572184715929002e-05,0.0010338621099397066,0.0021447083330029025
0.05000000000000004,right_joint_1,1.2606046825868708e-05,0.0011056888035412087,0.0022576433649447543
0.05100000000000004,right_joint_1,1.3711735629409917e-05,0.0011812260787124375,0.0023748261944143297
0.05200000000000004,right_joint_1,1.4892961708122354e-05,0.0012606111926643335,0.002496375314870148
0.05200000000000004,right_joint_1,1.4892961708122354e-05,0.0012606111926643335,0.002496375314870148
0.05300000000000004,right_joint_1,1.615357290078669e-05,0.001343985178895347,0.0026224119089413474
0.05300000000000004,right_joint_1,1.615357290078669e-05,0.001343985178895347,0.0026224119089413474
